Name,Genre,Info
Titanic,Thriller/Suspense,"PG-13 for disaster related peril and violence, nudity, sensuality and brief language"
Armageddon,Adventure,"PG-13 for sci-fi disaster action, sensuality and brief language"
Saving Private Ryan,Drama,"R for intense prolonged realistically graphic sequences of war violence, and for language"
There's Something About Mary,Romantic Comedy,R for strong comic sexual content and language
The Waterboy,Comedy,PG-13 for language and some crude sexual humor
Doctor Dolittle,Comedy,PG-13 for crude humor and language
Deep Impact,Adventure,PG-13 for intense disaster related elements and brief language
Rush Hour,Action,"PG-13 for sequences of action/violence and shootings, and for language"
A Bug's Life,Adventure,G
Godzilla,Action,PG-13 for sci-fi monster action/violence
Star Wars Ep. I: The Phantom Menace,Adventure,PG for sci-fi action/violence
The Sixth Sense,Thriller/Suspense,PG-13 for intense thematic material and violent images
Toy Story 2,Adventure,G
Austin Powers: The Spy Who Shagged Me,Comedy,PG-13 for sexual innuendo and crude humor
The Matrix,Action,R for sci-fi violence and brief language
Tarzan,Adventure,G
Big Daddy,Comedy,PG-13 for language and some crude humor
The Mummy,Adventure,PG-13 for pervasive adventure violence and some partial nudity
Runaway Bride,Romantic Comedy,PG for language and some suggestive dialogue
The Blair Witch Project,Horror,R
How the Grinch Stole Christmas,Comedy,PG for some crude humor
Mission: Impossible 2,Action,PG-13 for intense sequences of violent action and some sensuality
Gladiator,Action,"R for intense, graphic combat"
The Perfect Storm,Drama,PG-13 for language and scenes of peril
Meet the Parents,Comedy,"PG-13 for sexual content, drug references and language"
X-Men,Action,PG-13 for sci-fi action violence
Scary Movie,Comedy,"R for strong crude sexual humor, language, drug use and violence"
What Lies Beneath,Thriller/Suspense,"PG-13 for terror/violence, sensuality and brief language"
Dinosaur,Adventure,PG for intense images
Erin Brockovich,Drama,R for language
Harry Potter and the Sorcererâ€™s Stone,Adventure,PG for some scary moments and mild language
Shrek,Adventure,PG for mild language and some crude humor
"Monsters, Inc.",Adventure,G
Rush Hour 2,Action,"PG-13 for action violence, language and some sexual material"
The Lord of the Rings: The Fellowship of the Ring,Adventure,PG-13 for epic battle sequences and some scary images
The Mummy Returns,Adventure,PG-13 for adventure action and violence
Pearl Harbor,Action,"PG-13 for sustained intense war sequences, images of wounded, brief sensuality and some language"
Jurassic Park 3,Action,PG-13 for intense sci-fi terror and violence
Planet of the Apes,Adventure,PG-13 for some sequences of action/violence
Hannibal,Horror,"R for strong gruesome violence, some nudity and language"
Spider-Man,Adventure,PG-13 for stylized violence and action
Star Wars Ep. II: Attack of the Clones,Adventure,PG for sustained of sci-fi action/violence
The Lord of the Rings: The Two Towers,Adventure,PG-13 for epic battle sequences and scary images
Harry Potter and the Chamber of Secrets,Adventure,"PG for scary moments, some creature violence and mild language"
My Big Fat Greek Wedding,Romantic Comedy,PG
Signs,Thriller/Suspense,PG-13 for some frightening moments
Austin Powers in Goldmember,Comedy,"PG-13 for sexual innuendo, crude humor and language"
Men in Black 2,Action,PG-13 for sci-fi action violence and some provocative humor
Ice Age,Adventure,PG for mild peril
Die Another Day,Action,PG-13 for action violence and sexuality
Finding Nemo,Adventure,"GG(Rating bulletin 2223, 5/16/2012)"
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,PG-13 for action/adventure violence
The Lord of the Rings: The Return of the King,Adventure,PG-13 for intense epic battle sequences and frightening images
The Matrix Reloaded,Action,R for sci-fi violence and some sexuality
Bruce Almighty,Comedy,"PG-13 for language, sexual content and some crude humor"
X2,Action,"PG-13 for sci-fi action/violence, some sexuality and brief language"
Elf,Comedy,PG for some mild rude humor and language
Chicago,Musical,"PG-13 for sexual content and dialogue, violence and thematic elements"
Terminator 3: Rise of the Machines,Action,"R for strong sci-fi violence and action, and for language and brief nudity"
Bad Boys II,Action,"R for strong violence and action, pervasive language, sexuality and drug content"
Shrek 2,Adventure,"PG for some crude humor, a brief substance reference and some suggestive content"
Spider-Man 2,Adventure,PG-13 for stylized action violence
The Passion of the Christ,Drama,R for sequences of graphic violence
The Incredibles,Adventure,PG for action violence
Harry Potter and the Prisoner of Azkaban,Adventure,"PG for frightening moments, creature violence and mild language"
The Day After Tomorrow,Adventure,PG-13 for intense situations of peril
The Bourne Supremacy,Thriller/Suspense,"PG-13 for violence and intense action, and for brief language"
Meet the Fockers,Comedy,"PG-13 for crude and sexual humor, language and a brief drug reference."
Shark Tale,Adventure,PG for mild language and crude humor
National Treasure,Adventure,PG for action violence and some scary images
